,location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
1649,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T14:00:00Z,2018-10-13T08:00:00-06:00,no2,0.027000000000000003,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1653,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T14:00:00Z,2018-10-13T08:00:00-06:00,no2,0.02,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1656,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T14:00:00Z,2018-10-13T08:00:00-06:00,no2,0.016,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1673,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T13:00:00Z,2018-10-13T07:00:00-06:00,no2,0.015,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1674,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T13:00:00Z,2018-10-13T07:00:00-06:00,no2,0.031,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1676,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T13:00:00Z,2018-10-13T07:00:00-06:00,no2,0.024,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1685,Denver - CAMP - 2105,Denver-Aurora,US,2018-10-13T12:00:00Z,2018-10-13T06:00:00-06:00,no2,0.017,ppm,39.751098999999996,-104.98719799999999,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1690,La Casa NCORE - 4545,Denver-Aurora,US,2018-10-13T12:00:00Z,2018-10-13T06:00:00-06:00,no2,0.024,ppm,39.7794,-105.00523000000001,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1691,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T12:00:00Z,2018-10-13T06:00:00-06:00,no2,0.028999999999999998,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
1697,Welby - 78th Ave. &,Denver-Aurora,US,2018-10-13T11:00:00Z,2018-10-13T05:00:00-06:00,no2,0.027000000000000003,ppm,39.8392,-104.9489,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Colorado Department of Public Health and Environment""}]"
